,brand,drivetrain,exterior_color,interior_color,miles,model,photos,price,review_no,star,title,transmission,vendor,video,year
0,BMW,rwd,Black Sapphire Metallic,Amaro Brown,78534,535,32,24449,81,5.0,BMW 535 i,8-speed,Amazing Luxury Cars - Snellville,0,2015
1,Bentley,4wd,Beluga,Beluga,2319,Bentayga,32,179801,620,5.0,Bentley Bentayga W12 Signature,8-speed,Select Luxury Cars,0,2018
2,Mercedes-Benz,4wd,Steel Gray Metallic,Black,7478,AMG,32,87999,0,0.0,Mercedes-Benz AMG GT S,7-speed,Drive A Dream,0,2016
3,Ford,4wd,Race Red,Black,2330,F-150,32,53900,244,5.0,Ford F-150 Raptor,1-speed,Gilbert & Baugh Ford,1,2018
4,McLaren,rwd,Carbon Black,Black,12289,MP4-12C,32,116496,91,4.5,McLaren MP4-12C Coupe,7-speed,Metrolina Auto Group,1,2012
5,Mercedes-Benz,rwd,Iridium Silver Metallic,Black,58204,E,32,18549,26,5.0,Mercedes-Benz E 550,7-speed,iNetwork Auto Group,1,2010
6,Audi,4wd,Gray,Black,38145,R8,32,59950,20,4.5,Audi R8,6-speed,Exotic Motor Cars,1,2008
7,Porsche,4wd,Seal Grey Metallic,Graphite Gray,35022,911,25,18500,1268,5.0,Porsche 911 Carrera,5-speed,Hanna Imports,1,2002
8,Subaru,4wd,Regal Blue Pearl,Dark Gray,132487,Impreza,31,500,210,4.5,Subaru Impreza 2.5i,4-speed,Midwest Auto Store,1,2006
9,Chevrolet,rwd,Beach,Brownstone,11124,Corvette,28,67900,86,5.0,Chevrolet Corvette Z06,8-speed,Skyline Imports,1,2016
10,Lamborghini,4wd,Nero Pegaso Metallic,Nero Ade with Giallo Taurus,80,S,32,449995,29,5.0,Lamborghini S,7-speed,Naples Motorsports,0,2018
11,Mercedes-Benz,4wd,Obsidian Black Metallic,Designo Black,2623,AMG,32,149800,75,5.0,Mercedes-Benz AMG S 63 Base 4MATIC,7-speed,HGreg Lux,1,2017
12,Mercedes-Benz,4wd,Black,Deep Sea Blue / Silk Beige,35386,S,32,42990,23,5.0,Mercedes-Benz S 550 4MATIC,7-speed,Jumbo Luxury Cars,1,2014
13,Porsche,rwd,Basalt Black Metallic,Brown Leather,49943,911,32,29995,54,5.0,Porsche 911 Targa,6-speed,Chantilly Auto Sales,1,2004
14,Audi,4wd,Metallic,Black,16864,R8,23,88999,96,5.0,Audi R8 4.2,7-speed,Action Pre-owned Automotive,1,2014
15,Ferrari,rwd,Red,Black,35447,458,32,144000,184,5.0,Ferrari 458 Italia Base,7-speed,FC Auto,1,2011
16,Toyota,4wd,Red,Black,32940,Supra,24,72966,125,4.5,Toyota Supra Turbo,6-speed,Merlex Auto Group,1,1994
17,Lexus,4wd,Black,Black,101791,LX,32,34995,31,5.0,Lexus LX 570 Base,6-speed,Virginia Auto Trader Co.,1,2013
18,Tesla,rwd,Red,Tan,49876,Model,30,39981,147,4.5,Tesla Model S Base,1-speed,MemberCar,0,2013
19,Jeep,4wd,Black,Black,29600,Grand,32,29995,140,4.5,Jeep Grand Cherokee SRT8,5-speed,Trust Auto,1,2013
20,Bentley,4wd,Diamond Black,6-SPEED A/T,81425,Continental,24,34577,301,4.5,Bentley Continental GT Base,all,Rich Morton Mazda,0,2004
21,Chevrolet,4wd,Black,Black,6,Corvette,32,154910,65,5.0,Chevrolet Corvette ZR1,8-speed,Premier Sports Cars Co.,1,2019
22,Ford,4wd,Gray,Gray,221160,F-150,20,4999,21,5.0,Ford F-150 FX4 SuperCab,4-speed,I-Deal Cars LLC,1,2004
23,Jaguar,4wd,Green,Tan,83797,X-Type,22,4499,11,5.0,Jaguar X-Type 3.0,5-speed,I-80 Auto Sales,1,2004
24,Jeep,4wd,Deep Beryl Green Pearl,Dark Khaki/Lght Graystone,193939,Grand,26,3980,140,5.0,Jeep Grand Cherokee Limited,5-speed,Driven Auto Sales,0,2005
25,Acura,4wd,Gray,Ebony,1702,ILX,29,13975,6,5.0,Acura ILX 2.0L Technology,5-speed,Summit Auto Center,0,2013
26,Tesla,rwd,Sierra Black,Tan,66174,Model,32,40995,218,4.5,Tesla Model S Signature,1-speed,Highline Auto Sales,1,2012
27,Dodge,4wd,Black,Red,59700,Challenger,28,14950,43,4.0,Dodge Challenger Rallye Redline,5-speed,Chicago Fine Motors,1,2014
28,Land,4wd,Silver,Black,144461,Rover,24,3950,43,4.0,Land Rover Discovery SE,5-speed,Chicago Fine Motors,1,2003
29,Lexus,4wd,Cypress Pearl Metallic,Ash,41817,LS,32,16985,132,4.5,Lexus LS 430 Base,6-speed,Star Motor Sales,0,2006
30,Maserati,4wd,Blu Sofisticato Metallic,Ivory,22130,GranTurismo,32,56900,43,5.0,Maserati GranTurismo MC,6-speed,Gold Coast Motors,1,2014
31,BMW,rwd,White,Black,80902,328,32,4995,11,5.0,BMW 328 i,5-speed,Moto Zone Inc.,1,1999
32,Chrysler,rwd,Blue,Gray,163117,300,28,2995,11,5.0,Chrysler 300 Base,4-speed,Moto Zone Inc.,1,2005
33,Subaru,rwd,Dark Gray Metallic,Black,32269,BRZ,27,15999,449,4.5,Subaru BRZ Limited,6-speed,Millennium Auto,1,2014
34,Hyundai,4wd,Karussell White,Black,96299,Genesis,23,5900,247,4.0,Hyundai Genesis Coupe Grand Touring/Track/Grand Touring w/Nav/Track w/Nav,6-speed,KNB Motors Inc,1,2010
35,Mitsubishi,4wd,Silver,Black,52228,Lancer,32,19995,60,4.5,Mitsubishi Lancer Evolution VIII,5-speed,Performance Car Sales,1,2004
36,Mercedes-Benz,4wd,Black,Nut Browm,26641,GLA,32,22995,12,5.0,Mercedes-Benz GLA 250 4MATIC,7-speed,Midwest Car Connect,1,2015
37,Hyundai,4wd,Gray,Gray,126383,Sonata,20,2995,5,5.0,Hyundai Sonata GLS,5-speed,Savi Motors,0,2006
38,Dodge,rwd,Brilliant Black Pearl,Dark Slate Gray,60154,Challenger,30,19995,37,5.0,Dodge Challenger SRT8,6-speed,United Auto Exchange,1,2009
39,Chevrolet,4wd,Black,4-SPEED A/T,205952,TrailBlazer,27,1000,10,5.0,Chevrolet TrailBlazer LS,rear,Real McKoy Auto,0,2007
40,Saturn,rwd,Black Onyx,Tan,56849,Sky,23,9500,139,5.0,Saturn Sky Red Line,5-speed,BMW of Atlantic City,1,2008
41,Nissan,4wd,Red,6-Speed Manual,151021,350Z,32,5895,87,4.5,Nissan 350Z Touring,rwd,Pro-Sport Motors,1,2004
42,Honda,4wd,Black,Gray,113806,Fit,24,4900,31,5.0,Honda Fit,5-speed,Albo Auto Sales,0,2009
43,BMW,rwd,Blue,Beige,63400,M3,32,40900,326,4.5,BMW M3 Base,6-speed,Philly Auto,1,2015
44,Porsche,4wd,Black,Black,53515,Cayenne,26,16999,29,5.0,Porsche Cayenne Base,6-speed,Premier Auto,1,2009
45,Jeep,4wd,Maximum Steel Metallic,Sepia,30649,Grand,32,34995,57,5.0,Jeep Grand Cherokee SRT,8-speed,Broadmoor Motors,1,2014
46,Subaru,4wd,Crystal Black Silica,Black,84119,Impreza,18,12900,43,4.5,Subaru Impreza WRX Premium,5-speed,Executive Auto Gallery,1,2013
47,Mitsubishi,4wd,White,Black,10,Eclipse,27,26415,34,4.5,Mitsubishi Eclipse Cross SEL,6-speed,J & S Autohaus,1,2018
48,Alfa,rwd,Rosso,Black,10654,Romeo,41,29992,959,5.0,Alfa Romeo Giulia Ti,8-speed,Bonham Chrysler Jeep Dodge Ram,1,2017
49,Nissan,4wd,Pearl White,Black,55186,GT-R,31,50993,959,5.0,Nissan GT-R Premium,6-speed,Bonham Chrysler Jeep Dodge Ram,1,2010
50,Dodge,rwd,Gray,Red,33684,Challenger,32,29900,8,5.0,Dodge Challenger R/T Scat Pack,6-speed,TX Auto Group,1,2015
51,Lamborghini,4wd,Silver,Black,32221,Gallardo,32,76975,86,4.5,Lamborghini Gallardo 2dr Cpe,6-speed,World Class Automobiles,1,2005
52,Cadillac,rwd,Light Platinum,Light Gray / Ebony,152172,CTS,48,999,681,5.0,Cadillac CTS,5-speed,Gold Coast Cadillac,0,2007
53,BMW,4wd,White,White,85332,X5,31,19999,5,4.5,BMW X5 M Base,6-speed,Auto Planet,1,2010
54,BMW,4wd,White,Black,24024,328,32,12900,25,4.5,BMW 328 i,8-speed,Auto Outlet,1,2013
55,Mercedes-Benz,4wd,Palladium Silver Metallic,Crystal Gray,71855,S,32,39995,219,4.5,Mercedes-Benz S 550 4MATIC,7-speed,Auto Holding of Mountain Lakes,1,2015
56,Audi,4wd,Daytona Gray Pearl,Black,29059,R8,16,67500,873,5.0,Audi R8,6-speed,Paul Miller Audi,1,2009
57,Lamborghini,4wd,Green,6-SPEED M/T,17521,Gallardo,30,86777,176,4.5,Lamborghini Gallardo 2dr Cpe,four,Empire Exotic Motors Inc.,1,2004
58,Ferrari,4wd,Grigio Ferro,7-Speed Automatic with Auto-Shift,495,LaFerrari,32,3900000,588,5.0,Ferrari LaFerrari Base,rwd,Boardwalk Ferrari Maserati,1,2014
59,Lotus,rwd,Gray,Charcoal,31480,Evora,29,39900,48,5.0,Lotus Evora Base,6-speed,Reagor Dykes Direct Auto of Dallas,1,2011
60,Porsche,4wd,-,Black,13,911,24,179995,15,5.0,Porsche 911 GT3,7-speed,RAC Performance,1,2018
61,Nissan,4wd,Black,Black,73354,Altima,29,6999,16,5.0,Nissan Altima 2.5 SL,6-speed,Apollo Certified Pre-Owned Vehicles,0,2013
62,BMW,4wd,Blue,Tan,93929,535,32,11999,16,5.0,BMW 535 i xDrive,6-speed,Apollo Certified Pre-Owned Vehicles,0,2011
63,Honda,4wd,Blue,Select,93994,Civic,24,3999,16,5.0,Honda Civic LX,6-speed,Apollo Certified Pre-Owned Vehicles,0,2009
64,Honda,4wd,Silver,Black,83806,Civic,29,10999,16,5.0,Honda Civic EX,6-speed,Apollo Certified Pre-Owned Vehicles,0,2016
65,Hyundai,4wd,Black,black,91879,Tiburon,21,2995,13,5.0,Hyundai Tiburon,5-speed,Yosh Motors Inc. of Belleville,0,2004
66,BMW,4wd,Gray,Black,45467,X5,30,14990,22,5.0,BMW X5 xDrive48i,6-speed,Twin Auto City,0,2009
67,Porsche,4wd,Blue,Luxor Beige,85475,Panamera,32,26875,241,4.5,Porsche Panamera 4,7-speed,Asal Motors,1,2011
68,Dodge,rwd,Bright White Clearcoat,Sepia,24978,Charger,32,35542,239,4.5,Dodge Charger SRT 392,8-speed,Project One Auto,1,2015
69,Bugatti,4wd,Black Metallic,Black,431,Veyron,28,1890000,50,5.0,Bugatti Veyron 16.4 Grand Sport,7-speed,Manhattan Motorcars Inc.,1,2010
70,Lincoln,4wd,Tuxedo Black Metallic,Charcoal Black,186136,Navigator,30,9900,7,5.0,Lincoln Navigator L,6-speed,Tower Auto Mall,1,2010
71,Ford,4wd,Silver,Black,132735,F-150,21,6795,15,5.0,Ford F-150 XLT,6-speed,Galaxy Auto One,1,2005
72,Honda,4wd,Black,Black,90726,Accord,32,7995,110,5.0,Honda Accord EX,5-speed,"Bergen Car Company, Inc.",1,2011
73,Mercedes-Benz,4wd,Black,Black,63603,SL550,32,15995,7,5.0,Mercedes-Benz SL550,6-speed,Queens National Auto Group Corp,1,2007
74,Audi,4wd,Phantom Black Pearl,Black,75000,R8,25,59995,66,4.5,Audi R8,6-speed,Pioneer Trucks,1,2009
75,Maserati,4wd,Blu,Brown,14922,Levante,32,56900,11,4.5,Maserati Levante Base,8-speed,King of Jamaica auto inc,1,2017
76,BMW,4wd,Silver,Beige,78699,135,32,9995,33,5.0,BMW 135 i,6-speed,Highline Motors,0,2009
77,Mercedes-Benz,4wd,White,Black,17862,AMG,32,44850,266,4.5,Mercedes-Benz AMG C 43 Base 4MATIC,9-speed,Jack Daniels Audi of Upper Saddle River,1,2017
78,Honda,4wd,Tango Red Pearl,Beige,83183,Civic,31,4888,52,5.0,Honda Civic EX,5-speed,Best Auto Outlet,1,2007
79,Chevrolet,rwd,Red,Red,32048,Corvette,32,37995,737,5.0,Chevrolet Corvette Stingray,8-speed,Auto Expo Ent Inc,0,2015
80,Chevrolet,rwd,Black,Black,14234,Camaro,32,29995,737,5.0,Chevrolet Camaro 2SS,8-speed,Auto Expo Ent Inc,0,2016
81,Mercedes-Benz,4wd,Diamond Silver Metallic,Black,46997,S,27,44450,56,5.0,Mercedes-Benz S 550,7-speed,Luxury Motor Club,1,2015
82,Jeep,4wd,Billet Silver Metallic Clearcoat,Black,26589,Grand,25,53495,53,5.0,Jeep Grand Cherokee SRT,8-speed,Merrick Dodge Chrysler Jeep RAM of Wantagh,1,2016
83,Ferrari,4wd,Nero,Tan,35576,360,23,53777,11,4.5,Ferrari 360 Modena Modena/Challenge,6-speed,Frank Kent Cadillac,1,2002
84,Alfa,rwd,Rosso,Black,4124,Romeo,39,59500,177,5.0,Alfa Romeo Giulia Quadrifoglio,8-speed,Van Horn Chrysler Dodge Jeep Ram of Manitowoc,0,2017
85,Nissan,4wd,Ivory Pearl,Grey,46579,GT-R,32,54990,15,5.0,Nissan GT-R Premium,6-speed,North Shore Auto Mall,1,2009
86,Tesla,rwd,Black,Tan,68695,Model,32,43890,1099,5.0,Tesla Model S Performance,1-speed,Motorwerks BMW,1,2013
87,Mercedes-Benz,4wd,Designo Diamond White Metallic,Black,4095,AMG,32,92995,194,5.0,Mercedes-Benz AMG CLS 63 S 4MATIC,7-speed,Land Rover Denver,1,2017
88,Nissan,4wd,Black Obsidian,Black,59263,GT-R,18,50995,87,4.0,Nissan GT-R Premium,6-speed,Booth Motors,1,2010
89,Mercedes-Benz,4wd,Designo Magno Night Black,Black,411,AMG,32,129858,4231,5.0,Mercedes-Benz AMG E 63 S 4MATIC,9-speed,Earnhardt Hyundai North Scottsdale,1,2018
90,Ford,4wd,Bronze Fire Metallic,Black,32534,F-250,32,43900,52,5.0,Ford F-250 Lariat,6-speed,Watts Automotive,1,2016
91,Chevrolet,rwd,Daytona Sunrise Orange Metallic,Jet Black,5297,Corvette,24,38999,326,4.5,Chevrolet Corvette Stingray Z51,8-speed,AutoSource Woods Cross,1,2016
92,BMW,rwd,White,Red,15439,M4,32,43499,60,5.0,BMW M4 Base,7-speed,AutoSource Las Vegas,1,2016
93,Lamborghini,4wd,Bianco Isis,Nero Ade Leather,240,Aventador,43,483135,0,0.0,Lamborghini Aventador S S,paddle-shifted,Lamborghini Newport Beach,0,2018
94,Nissan,4wd,Jet Black Pearl,Black,25597,GT-R,30,66980,16,5.0,Nissan GT-R Premium,6-speed,HJ Auto Group Inc.,1,2014
95,Mazda,rwd,Titanium Gray Metallic,Black,83202,RX-8,23,4998,60,4.5,Mazda RX-8 Base,6-speed,Ava Auto Sales Long Beach,1,2004
96,BMW,4wd,Protonic Blue Metallic,Mega Carum Spice Gray,18503,i8,32,67990,60,4.0,BMW i8 Base,6-speed,MDK International,1,2015
97,BMW,rwd,Monaco Blue Metallic,Gray,119494,335,32,8988,8,5.0,BMW 335 i,6-speed,Superior Motors,1,2007
98,Nissan,4wd,Pearl White,Black,35604,GT-R,23,59999,6,4.5,Nissan GT-R Premium,6-speed,Emperor Motors,1,2010
99,Lamborghini,4wd,Bianco Isis,Nero Ade,9711,Aventador,32,269000,32,5.0,Lamborghini Aventador LP700-4,7-speed,Cats Exotics,1,2012
